,task,true,model,model_extracted,classification_metric
3046,saturn nasa liar fool crazy dealer gsfc lunatic columbia lawrence advertising dealy billboard marketing price,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3047,sauce cheese bread recipe spicy season cake salad egg flour chili tomato baking fry stir,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3048,sauce cheese bread salad flour chili baking stir garlic pancake dip dress pork pizza mill,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3049,sauce cheese bread salad flour chili garlic pancake stir dress baking pork pizza mill waffle,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3050,sauce cheese bread salad flour chili stir garlic pancake dip baking dress pork pizza mill,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3051,sauce cheese recipe bread spicy cook season cake salad egg bake chicken flour chili tomato,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3052,sauce regular serve per save hot bit red spicy pepper ounce subscribe option heat chili,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3053,sauce rice meal cook noodle dish soy dinner cooked thick brown sprinkle restaurant cooking simple,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3054,sauce rice meal cook soy dish thick brown dinner cooked simple sprinkle cooking restaurant kitchen,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3055,sauce rice meal cook soy dish thick dinner cooked brown simple sprinkle consistency restaurant slice,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3056,sauce rice meal dish soy thick dinner cooked sprinkle restaurant cook thai pea cooking brown,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3057,sauce serve per regular save hot red bit spicy pepper ounce subscribe heat option single,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3058,sauce serve regular per save bit hot red spicy pepper ounce subscribe heat option single,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3059,sauce serve rice dish meal sprinkle content soy cooked contain dinner restaurant thai ginger brown,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3060,sauce serve spicy pepper hot subscribe heat save chili fry sour thai greasy asian sugar-free,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3061,sauce spicy apple noodle pepper heat kick chili lime restaurant hot wasabi bbq asian overly,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3062,sauce spicy apple pepper noodle heat kick chili hot restaurant lime tomato wasabi bland bbq,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3063,sauce spicy noodle heat kick chili restaurant lime pepper hot wasabi asian bbq ramen salsa,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3064,sauce spicy noodle heat kick chili restaurant lime pepper wasabi asian hot soy taco ramen,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3065,sauce spicy noodle heat kick chili restaurant lime wasabi pepper asian jasmine bbq taco soy,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3066,sauce spicy noodle heat kick chili restaurant pepper lime wasabi asian hot soy taco indian,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3067,sauce spicy noodle heat kick chili restaurant pepper lime wasabi asian hot soy taco ramen,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3068,sauce spicy noodle heat kick restaurant lime chili pepper hot wasabi asian bbq ramen jasmine,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3069,sauce spicy noodle heat kick restaurant lime pepper hot chili asian wasabi ramen bbq jasmine,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3070,sauce spicy noodle kick heat lime restaurant hot pepper chili asian ramen jasmine wasabi bbq,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3071,sauce spicy pepper apple noodle heat kick chili lime hot restaurant wasabi bbq asian tomato,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3072,say can't almond blue wait cocoa magnesium cause beat diamond nutrient rda blood body girl,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3073,say can't almond blue wait cocoa magnesium ounce beat diamond blood reminds nutrient rda cause,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3074,say can't regular least wait cocoa beat alot needle yorkshire stem imagine one's mean string,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3075,say can't run least believe wait four cocoa dont iced personally alot watery needle canister,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
3076,say can't run least believe wait four cocoa iced dont personally alot steep watery needle,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
3077,say can't run least wait cocoa four iced dont believe personally alot watery know needle,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
3078,say can't run wait cocoa iced dont bone least four know alot personally sure beat,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
3079,say can't run wait cocoa iced dont least four alot know personally bone watery sure,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
3080,say can't run wait cocoa iced dont least four know alot personally believe watery sure,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
